Date,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
Production,508,498,511,517,521,516,513,502,499,515.4,515.5,514.5,516,517.5,519,520.5,522,523.5,525,526.5,528,529.5,531,532.5
Group 3 runs,860,864,727,754,775,870,897,900,800,807,909,903,894,842,826,858,915,925,910,915,925,905,910,895
Basin,487,365,251,437,496,448,362,298,290,275,475,450,350,350,350,375,375,375,375,375,375,375,375,375
Centurion,101,60,68,50,100,60,60,70,50,70,75,75,50,50,50,50,50,50,50,50,50,50,50,50
Nustar Ringgold,16,6,7,5,1,8,7,8,9,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5
OK Mainline,35,35,36,40,38,44,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
PXP,347,370,351,362,399,390,420,426,419,430,417,420,420,491,463,423,432,435,438,435,433,508,483,479
Saddlehorn-Grandmesa,336,325,294,320,339,355,319,300,317,340,340,350,340,340,340,340,340,340,340,340,340,340,340,340
White Cliffs,22,22,22,46,42,42,38,38,36,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Jayhawk,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Keystone,415,447,421,463,431,500,416,474,456,456,471,474,456,456,456,456,456,456,456,456,474,474,456,456
FSP,668,632,561,603,700,595,567,540,625,700,700,700,675,675,675,575,625,625,625,625,700,700,700,675
Spearhead,209,209,198,170,191,205,170,160,180,195,202,195,195,195,195,195,195,195,195,195,195,195,195,195
Hawthorne,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total inbound,2663,2508,2230,2517,2756,2668,2414,2368,2437,2552,2760,2745,2567,2638,2610,2495,2554,2557,2560,2557,2648,2723,2680,2651
Seaway,697,746,781,791,810,745,709,715,780,850,800,800,810,800,790,675,725,725,725,725,825,825,825,800
Marketlink,519,568,593,624,697,712,759,700,735,775,735,725,760,750,750,725,725,725,725,725,725,725,725,725
Centurion reversal,39,51,70,64,40,65,65,65,95,85,65,55,65,65,65,65,65,65,65,65,65,65,65,65
Borger Express,26,50,58,53,25,2,50,40,30,15,25,35,45,45,45,45,45,45,45,45,45,45,45,45
Red River II,123,142,161,164,149,126,148,146,144,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
Diamond,155,189,193,175,175,155,90,115,100,75,60,120,125,125,125,125,150,150,125,125,125,125,125,125
BP1,91,107,93,100,90,100,90,85,75,50,80,80,100,100,100,100,100,100,100,100,65,65,100,100
Ozark,274,318,313,463,272,265,324,367,373,281,280,330,330,330,330,330,330,330,330,330,250,250,300,300
Total Outbound,1923,2171,2261,2434,2258,2169,2235,2233,2332,2276,2190,2290,2380,2360,2350,2210,2285,2285,2260,2260,2245,2245,2330,2305
Adjustment,27,74,42,134,-14,-44,-98,39,16,48,54,50,50,50,50,50,50,50,50,50,50,50,50,50
Stock change,415,45,-205,-20,229,100,-303,-223,-180,32,231,116,-141,4,2,-2,-74,-79,-35,-42,56,152,21,34
End stocks,38960,40208,33857,33247,40356,43369,33962,27040,21634,22632,29551,33161,28793,28901,28973,28923,26639,24257,23173,21873,23558,28271,28894,29939
m/m change,12865,1248,-6351,-610,7109,3013,-9407,-6922,-5406,998,6919,3610,-4367,107,72,-50,-2284,-2382,-1084,-1299,1685,4713,623,1045
